b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,0.29287475,0.09777182,0.10812112,0.001834261,1264.755709,148829.4026,1971.161434,179786.9486,2411.826748,1990835.038,0.03851243,0.000220386,-9.43E-07,0.008392176,112.3471467,-7.477986,3617.7712,0.000728996,7.2016897,0.004286881,2.7199903
b,0.286994,0.09515827,0.10214047,0.001502612,960.2366346,39481.31622,1084.255953,41782.89589,1686.967721,254882.0538,0.055612959,0.000241624,2.07E-06,0.005732609,129.1992188,-4.8562574,4730.5913,0.002545907,7.034792,-0.000278099,2.9222224
b,0.29240462,0.08598893,0.22757672,0.006171272,1406.634352,52987.03854,1122.21885,11445.99035,2660.403393,105633.5383,0.10301578,0.001301205,-2.05E-06,0.04177722,83.35433468,-1.4526153,3405.9539,0.001394688,5.1159077,0.000327782,1.89418
b,0.31701455,0.092837974,0.23851724,0.015499583,2065.240919,259321.4604,2076.72021,105012.6161,4088.621078,1153254.193,0.097443986,0.001216313,1.35E-05,0.035266947,103.359375,1.852431,1214.4243,0.006581156,8.820736,-0.000313701,4.6942186
b,0.29580852,0.09430447,0.1373484,0.002041044,2031.830739,558549.9376,2055.954884,127088.1325,4141.65441,1895689.325,0.092983182,0.003237015,2.16E-06,0.010673297,161.4990234,-0.16218355,1687.214,0.001635477,10.139365,0.000695538,4.2793045
b,0.33989117,0.08772409,0.17030618,0.005266159,2473.754157,624161.5605,2587.081466,138505.9771,5481.296794,2181178.035,0.117363824,0.00426159,5.52E-06,0.020370241,89.10290948,2.2500243,1095.508,-0.002154421,8.244012,-0.000523053,3.3221312
b,0.29872698,0.08415169,0.22188498,0.005428454,2096.229301,282384.0405,2161.019212,114129.0153,4239.950979,1194984.66,0.113649444,0.001830768,-1.24E-05,0.036986373,117.4538352,2.2392795,1016.1751,0.003316329,5.8998556,-0.000518247,2.6648667
b,0.255985,0.08917043,0.07429507,0.000324866,2688.589027,1007197.751,2567.445151,188958.9123,5615.17981,3605426.029,0.123000832,0.005826878,-5.41E-06,0.003512411,151.9990809,-5.290772,2058.0562,-0.004698403,10.8507805,0.000846874,5.28769
b,0.24840456,0.09219675,0.17961058,0.004940549,2317.779567,296103.621,2403.865753,105553.8496,5109.855543,1399696.422,0.09751385,0.001210092,-5.06E-06,0.027597053,123.046875,-0.645912,1319.7682,0.005829621,7.411886,-0.000715235,3.2984765
b,0.2955898,0.08748048,0.09833992,0.000586434,2321.003668,441443.7717,2268.288804,95266.96064,4647.506299,1605778.759,0.109156205,0.003245224,-2.41E-06,0.006395653,86.1328125,-1.8933315,1463.7946,0.001518644,6.883662,-0.001499499,3.3529758
b,0.30152366,0.098429,0.19262373,0.004599301,2342.922495,470467.9045,2431.706623,209636.5694,5171.953951,2352545.394,0.107433775,0.002442766,3.74E-06,0.024674118,107.6660156,0.8742201,1231.4823,-0.004503721,13.029108,-0.001833731,5.6694765
b,0.2735678,0.08494281,0.31319153,0.008826257,2354.074366,187029.4077,1696.870042,58644.26824,3965.494792,614478.3041,0.16741256,0.001953538,-3.53E-06,0.065039575,112.3471467,-0.60368705,1122.0923,-0.005402849,4.6339025,0.001313202,2.1501772
b,0.26105517,0.087306455,0.23479955,0.005591454,1170.134356,32833.63296,1386.14722,18646.08458,2218.929549,169325.8669,0.059745583,0.000436986,-7.10E-06,0.04515711,103.359375,1.7198912,2209.7573,-0.00570732,3.1012924,0.000372,1.178997
b,0.26748502,0.08850596,0.241838,0.002257387,2355.152738,424654.5291,2544.4724,198586.0622,5262.024001,2589135.393,0.097617741,0.001803498,1.18E-05,0.03886699,107.6660156,3.0868645,893.2523,0.005270533,6.186215,-0.000315319,4.1647696
